"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\INTEL\Desktop\Infobest\frontend\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\INTEL\Desktop\Infobest\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"c:\Users\INTEL\Desktop\Infobest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\INTEL\Desktop\Infobest\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 6320, 0, 0, 0, 1, 6321
"c:\Users\INTEL\Desktop\Infobest\frontend\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\INTEL\Desktop\Infobest\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\INTEL\Desktop\Infobest\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\INTEL\Desktop\Infobest\frontend\src\App.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\INTEL\Desktop\Infobest\frontend\src\App.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 3, 21, 103
"c:\Users\INTEL\Desktop\Infobest\frontend\src\ProtectedRoute.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 2, 2, 12
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\auth.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\axios.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\camunda.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\cliente.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\garantia.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\reparacion.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 9, 17
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\taskcamunda.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\tasks.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 7, 14
