"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\INTEL\Desktop\Infobest\Backend\package-lock.json", "JSON", 0, 3320, 0, 1, 3321
"c:\Users\INTEL\Desktop\Infobest\Backend\package.json", "JSON", 0, 30, 0, 1, 31
"c:\Users\INTEL\Desktop\Infobest\Backend\src\app.js", "JavaScript", 38, 0, 1, 10, 49
"c:\Users\INTEL\Desktop\Infobest\Backend\src\config.js", "JavaScript", 5, 0, 0, 2, 7
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\auth.controller.js", "JavaScript", 106, 0, 6, 20, 132
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\cliente.controller.js", "JavaScript", 46, 0, 0, 7, 53
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\garantia_dispositivo.controller.js", "JavaScript", 81, 0, 0, 8, 89
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\reparacion.controller.js", "JavaScript", 163, 0, 2, 13, 178
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\tasks.controller.js", "JavaScript", 80, 0, 0, 11, 91
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\tecnico.controller.js", "JavaScript", 47, 0, 0, 7, 54
"c:\Users\INTEL\Desktop\Infobest\Backend\src\db.js", "JavaScript", 10, 0, 0, 1, 11
"c:\Users\INTEL\Desktop\Infobest\Backend\src\index.js", "JavaScript", 5, 0, 0, 1, 6
"c:\Users\INTEL\Desktop\Infobest\Backend\src\libs\jwt.js", "JavaScript", 17, 0, 0, 3, 20
"c:\Users\INTEL\Desktop\Infobest\Backend\src\middlewares\validateToken.js", "JavaScript", 20, 0, 1, 5, 26
"c:\Users\INTEL\Desktop\Infobest\Backend\src\middlewares\validator.middleware.js", "JavaScript", 12, 0, 0, 0, 12
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\garantia_dispositivos.model.js", "JavaScript", 43, 0, 0, 2, 45
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\reparacion.model.js", "JavaScript", 51, 0, 0, 2, 53
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\task.model.js", "JavaScript", 35, 0, 0, 3, 38
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\user.model.js", "JavaScript", 29, 0, 1, 3, 33
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\auth.routes.js", "JavaScript", 15, 0, 2, 3, 20
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\cliente.routes.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\garantia_dispositivo.routes.js", "JavaScript", 12, 0, 0, 3, 15
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\reparacion.routes.js", "JavaScript", 15, 0, 0, 3, 18
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\tasks.routes.js", "JavaScript", 13, 0, 0, 4, 17
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\tecnico.routes.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\auth.shema.js", "JavaScript", 31, 0, 0, 2, 33
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\garantia_dispositivo.schema.js", "JavaScript", 22, 0, 6, 2, 30
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\reparacion.schema.js", "JavaScript", 28, 0, 2, 2, 32
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\task.shema.js", "JavaScript", 14, 0, 0, 2, 16
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\tecnico.schema.js", "JavaScript", 26, 0, 0, 2, 28
"Total", "-", 984, 3350, 21, 127, 4482
